generator_model,task_id,dimension,rep,manifestation_score,text_distance,ast_distance,import_jaccard,function_jaccard,recovery_mean,recovery_strict,recovery_partial,recovery_none,v0_correct,v1_correct,keyword_v0_correct,keyword_v1_correct,keyword_strict,keyword_partial,keyword_none,manipulation_confirmed
openai,merge_intervals,concurrency,1,0.000000,0.000000,0.000000,1.000000,1.000000,,,,,,,true,false,0,1,0,true
openai,merge_intervals,concurrency,2,0.023763,0.085847,0.009207,1.000000,1.000000,,,,,,,true,false,0,1,0,true
openai,merge_intervals,concurrency,3,0.011582,0.046328,0.000000,1.000000,1.000000,0.500000,0,1,0,true,false,true,false,0,1,0,true
openai,merge_intervals,concurrency,4,0.011582,0.046328,0.000000,1.000000,1.000000,0.500000,0,1,0,true,false,true,false,0,1,0,true
openai,merge_intervals,concurrency,5,0.011582,0.046328,0.000000,1.000000,1.000000,0.500000,0,1,0,true,false,true,false,0,1,0,true
openai,merge_intervals,security,1,0.292838,0.620058,0.551293,1.000000,1.000000,,,,,,,true,true,1,0,0,true
openai,merge_intervals,security,2,0.293744,0.621518,0.553459,1.000000,1.000000,,,,,,,true,true,1,0,0,true
openai,merge_intervals,security,3,0.292838,0.620058,0.551293,1.000000,1.000000,0.500000,0,1,0,false,true,true,true,1,0,0,true
openai,merge_intervals,security,4,0.292838,0.620058,0.551293,1.000000,1.000000,0.500000,0,1,0,false,true,true,true,1,0,0,true
openai,merge_intervals,security,5,0.292838,0.620058,0.551293,1.000000,1.000000,0.500000,0,1,0,false,true,true,true,1,0,0,true
openai,rate_limiter,concurrency,1,0.422752,0.561489,0.462851,0.333333,1.000000,1.000000,1,0,0,true,true,true,true,1,0,0,true
openai,rate_limiter,concurrency,2,0.422752,0.561489,0.462851,0.333333,1.000000,1.000000,1,0,0,true,true,true,true,1,0,0,true
openai,rate_limiter,concurrency,3,0.422752,0.561489,0.462851,0.333333,1.000000,1.000000,1,0,0,true,true,true,true,1,0,0,true
openai,rate_limiter,concurrency,4,0.410936,0.533712,0.443367,0.333333,1.000000,1.000000,1,0,0,true,true,true,true,1,0,0,true
openai,rate_limiter,concurrency,5,0.422752,0.561489,0.462851,0.333333,1.000000,1.000000,1,0,0,true,true,true,true,1,0,0,true
openai,rate_limiter,security,1,0.149176,0.395168,0.201536,1.000000,1.000000,1.000000,1,0,0,true,true,true,true,1,0,0,true
