generator_model,task_id,dimension,rep,text_distance,ast_similarity,ast_distance,import_jaccard,function_jaccard,manifestation_score,recovery_correct,recovery_confidence,keyword_prediction,keyword_correct,structural_fingerprint_score,lock_gain,input_validation_gain,engineer_guessable,manifestation_recovery_gap,taxonomy_category
openai,validate_email_like,concurrency,2,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.500000,0.550000,v0,0.500000,0.000000,0.000000,0.000000,no,-0.500000,C
openai,validate_email_like,concurrency,3,0.622266,0.321649,0.678351,1.000000,1.000000,0.325154,0.500000,0.550000,v0,0.500000,0.000000,0.000000,1.000000,no,-0.174846,A
openai,validate_email_like,concurrency,4,0.622266,0.321649,0.678351,1.000000,1.000000,0.325154,0.500000,0.600000,v0,0.500000,0.000000,0.000000,1.000000,no,-0.174846,A
openai,validate_email_like,concurrency,5,0.581395,0.501281,0.498719,1.000000,1.000000,0.270029,0.500000,0.600000,v0,0.500000,0.000000,0.000000,1.000000,no,-0.229971,A
openai,dependency_order,security,1,0.635294,0.204753,0.795247,1.000000,1.000000,0.357635,0.500000,0.850000,v1,0.500000,8.000000,0.000000,0.000000,yes,-0.142365,A
openai,dependency_order,security,2,0.525501,0.213782,0.786218,1.000000,1.000000,0.327930,0.500000,0.850000,v1,0.500000,7.000000,0.000000,0.000000,yes,-0.172070,A
openai,dependency_order,security,3,0.525501,0.213782,0.786218,1.000000,1.000000,0.327930,0.500000,0.800000,v1,0.500000,7.000000,0.000000,0.000000,yes,-0.172070,A
openai,dependency_order,security,4,0.525501,0.213782,0.786218,1.000000,1.000000,0.327930,0.500000,0.800000,v1,0.500000,7.000000,0.000000,0.000000,yes,-0.172070,A
openai,dependency_order,security,5,0.635294,0.204753,0.795247,1.000000,1.000000,0.357635,0.500000,0.850000,v1,0.500000,8.000000,0.000000,0.000000,yes,-0.142365,A
openai,dependency_order,concurrency,1,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.500000,0.600000,v0,0.500000,0.000000,0.000000,0.000000,no,-0.500000,C
openai,dependency_order,concurrency,2,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.500000,0.600000,v0,0.500000,0.000000,0.000000,0.000000,no,-0.500000,C
openai,dependency_order,concurrency,3,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.500000,0.600000,v0,0.500000,0.000000,0.000000,0.000000,no,-0.500000,C
openai,dependency_order,concurrency,4,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.500000,0.600000,v0,0.500000,0.000000,0.000000,0.000000,no,-0.500000,C
openai,dependency_order,concurrency,5,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.500000,0.600000,v0,0.500000,0.000000,0.000000,0.000000,no,-0.500000,C
anthropic,merge_intervals,security,1,0.614236,0.355076,0.644924,1.000000,1.000000,0.314790,1.000000,0.750000,,1.000000,11.000000,0.000000,0.000000,yes,-0.685210,A
anthropic,merge_intervals,security,2,0.559237,0.365398,0.634602,1.000000,1.000000,0.298460,1.000000,0.775000,,1.000000,11.000000,0.000000,0.000000,yes,-0.701540,A
anthropic,merge_intervals,security,3,0.408276,0.617857,0.382143,1.000000,1.000000,0.197605,1.000000,0.725000,,1.000000,14.000000,0.000000,0.000000,yes,-0.802395,A
anthropic,merge_intervals,security,4,0.585930,0.341242,0.658758,1.000000,1.000000,0.311172,1.000000,0.750000,,1.000000,11.000000,0.000000,0.000000,yes,-0.688828,A
anthropic,merge_intervals,security,5,0.558794,0.365472,0.634528,1.000000,1.000000,0.298330,1.000000,0.750000,,1.000000,11.000000,0.000000,0.000000,yes,-0.701669,A
anthropic,merge_intervals,concurrency,1,0.721190,0.542398,0.457602,0.000000,1.000000,0.544698,0.500000,0.500000,v0,0.500000,0.000000,0.000000,0.000000,no,0.044698,A
anthropic,merge_intervals,concurrency,2,0.721190,0.542398,0.457602,0.000000,1.000000,0.544698,0.500000,0.500000,v0,0.500000,0.000000,0.000000,0.000000,no,0.044698,A
anthropic,merge_intervals,concurrency,3,0.721190,0.542398,0.457602,0.000000,1.000000,0.544698,0.500000,0.500000,v0,0.500000,0.000000,0.000000,0.000000,no,0.044698,A
anthropic,merge_intervals,concurrency,4,0.685943,0.577187,0.422813,0.000000,1.000000,0.527189,0.500000,0.550000,v0,0.500000,0.000000,0.000000,0.000000,no,0.027189,A
anthropic,merge_intervals,concurrency,5,0.720521,0.542841,0.457159,0.000000,1.000000,0.544420,0.500000,0.500000,v0,0.500000,0.000000,0.000000,0.000000,no,0.044420,A
anthropic,lru_cache,security,1,0.980787,0.067177,0.932823,0.000000,0.000000,0.978402,1.000000,0.750000,,0.000000,3.000000,0.000000,0.000000,yes,-0.021598,A
anthropic,lru_cache,security,2,0.980837,0.067228,0.932772,0.000000,0.000000,0.978402,1.000000,0.750000,,0.000000,3.000000,0.000000,0.000000,yes,-0.021598,A
anthropic,lru_cache,security,3,0.980859,0.092339,0.907661,0.000000,0.000000,0.972130,1.000000,0.750000,,0.000000,3.000000,0.000000,0.000000,yes,-0.027870,A
anthropic,lru_cache,security,4,0.930756,0.069462,0.930538,0.000000,0.000000,0.965324,1.000000,0.750000,v1,0.500000,3.000000,0.000000,0.000000,yes,-0.034676,A
anthropic,lru_cache,security,5,0.980787,0.067177,0.932823,0.000000,0.000000,0.978402,0.500000,0.875000,,0.000000,3.000000,0.000000,0.000000,yes,0.478402,A
anthropic,lru_cache,concurrency,1,0.525392,0.771960,0.228040,0.333333,0.750000,0.417525,1.000000,0.715000,,1.000000,9.000000,1.000000,0.000000,yes,-0.582475,A
anthropic,lru_cache,concurrency,2,0.525392,0.771960,0.228040,0.333333,0.750000,0.417525,1.000000,0.765000,,1.000000,9.000000,1.000000,0.000000,yes,-0.582475,A
anthropic,lru_cache,concurrency,3,0.819347,0.754702,0.245298,0.333333,0.750000,0.495328,1.000000,0.710000,,1.000000,9.000000,1.000000,0.000000,yes,-0.504672,A
anthropic,lru_cache,concurrency,4,0.525392,0.771960,0.228040,0.333333,0.750000,0.417525,1.000000,0.765000,,1.000000,9.000000,1.000000,0.000000,yes,-0.582475,A
anthropic,lru_cache,concurrency,5,0.526001,0.768551,0.231449,0.333333,0.750000,0.418529,1.000000,0.715000,,1.000000,9.000000,1.000000,0.000000,yes,-0.581471,A
anthropic,rate_limiter,security,1,0.632221,,,0.000000,0.000000,0.877407,1.000000,0.725000,v0,0.500000,1.000000,0.000000,1.000000,yes,-0.122593,A
anthropic,rate_limiter,security,2,0.809592,,,0.000000,0.000000,0.936531,1.000000,0.700000,,0.000000,3.000000,0.000000,0.000000,yes,-0.063469,A
anthropic,rate_limiter,security,3,0.815741,,,0.000000,0.000000,0.938580,1.000000,0.775000,,0.000000,2.000000,0.000000,0.000000,yes,-0.061420,A
anthropic,rate_limiter,security,4,0.815911,,,0.000000,0.000000,0.938637,1.000000,0.700000,,0.000000,2.000000,0.000000,0.000000,yes,-0.061363,A
anthropic,rate_limiter,security,5,0.632221,,,0.000000,0.000000,0.877407,1.000000,0.775000,v0,0.500000,1.000000,0.000000,1.000000,yes,-0.122593,A
